die Schule;school
veranschaulichen;to illustrate
die Veranschaulichung;illustration
illustrieren;to illustrate
die Illustration;illustration
das Bild;picture, image
abbilden;to depict, reproduce
die Abbildung;illustration, figure
die Figur;figure
die Form;form, shape
formen;to form, shape
gestalten;to design, shape
die Gestaltung;design
der Inhalt;content
inhaltlich;content-wise
formal;formal
die Form;form
formell;formal
informell;informal
sachlich;factual, objective
der Sachverhalt;facts, circumstances
die Tatsache;fact
tatsächlich;actual, really
wirklich;real, really
die Wirklichkeit;reality
real;real
die Realität;reality
fiktiv;fictional
die Fiktion;fiction
imaginär;imaginary
die Vorstellung;imagination, idea
vorstellen;to imagine, introduce
sich vorstellen;to imagine
die Fantasie;fantasy, imagination
fantasieren;to fantasize
träumen;to dream
der Traum;dream
realistisch;realistic
unrealistisch;unrealistic
pragmatisch;pragmatic
idealistisch;idealistic
das Ideal;ideal
perfekt;perfect
die Perfektion;perfection
vollkommen;perfect, complete
unvollkommen;imperfect
vollständig;complete
unvollständig;incomplete
ganz;whole, entire
teilweise;partly, partially
der Teil;part
teilen;to divide, share
aufteilen;to divide up
die Aufteilung;division
das Ganze;the whole
insgesamt;altogether, overall
gesamt;total, entire
komplett;complete
ergänzen;to complete, supplement
die Ergänzung;supplement, completion
hinzufügen;to add
die Hinzufügung;addition
anfügen;to add, append
entfernen;to remove
die Entfernung;removal, distance
weglassen;to omit
die Auslassung;omission
auslassen;to omit
ausschließen;to exclude
der Ausschluss;exclusion
einschließen;to include
der Einschluss;inclusion
beinhalten;to contain, include
enthalten;to contain
umfassen;to comprise, include
bestehen aus;to consist of
zusammensetzen;to compose
die Zusammensetzung;composition
die Komposition;composition
komponieren;to compose
konstruieren;to construct
die Konstruktion;construction
bauen;to build
der Bau;construction, building
aufbauen;to build up, construct
der Aufbau;structure, construction
abbauen;to dismantle, reduce
der Abbau;dismantling, reduction
zerstören;to destroy
die Zerstörung;destruction
vernichten;to destroy, annihilate
die Vernichtung;destruction, annihilation
beschädigen;to damage
der Schaden;damage
schaden;to harm, damage
schädlich;harmful
schädigen;to harm, damage
die Schädigung;damage, harm
harmlos;harmless
gefährlich;dangerous
die Gefahr;danger
gefährden;to endanger
die Gefährdung;endangerment
riskant;risky
das Risiko;risk
riskieren;to risk
wagen;to dare, risk
sicher;safe, sure
die Sicherheit;safety, security
unsicher;unsafe, uncertain
schützen;to protect
der Schutz;protection
behüten;to protect, guard
bewahren;to preserve, protect
die Bewahrung;preservation
erhalten;to preserve, maintain
die Erhaltung;preservation, maintenance
konservieren;to preserve
die Konservierung;preservation
bewahren;to keep, preserve
aufbewahren;to keep, store
die Aufbewahrung;storage, safekeeping
lagern;to store
die Lagerung;storage
speichern;to store, save
die Speicherung;storage, saving
der Speicher;storage, memory
das Archiv;archive
archivieren;to archive
die Archivierung;archiving
sammeln;to collect
die Sammlung;collection
anhäufen;to accumulate
die Anhäufung;accumulation
akkumulieren;to accumulate
verteilen;to distribute
die Verteilung;distribution
austeilen;to distribute, hand out
ausgeben;to give out, spend
die Ausgabe;distribution, expenditure
verbreiten;to spread, disseminate
die Verbreitung;spreading, dissemination
publizieren;to publish
die Publikation;publication
veröffentlichen;to publish
die Veröffentlichung;publication
herausgeben;to publish, edit
der Herausgeber;publisher, editor
der Verlag;publishing house, publisher
drucken;to print
der Druck;print, pressure
abdrucken;to print, reproduce
der Abdruck;print, copy
kopieren;to copy
die Kopie;copy
der Kopierer;copier
das Duplikat;duplicate
duplizieren;to duplicate
vervielfältigen;to duplicate, copy
die Vervielfältigung;duplication
reproduzieren;to reproduce
die Reproduktion;reproduction
nachahmen;to imitate
die Nachahmung;imitation
imitieren;to imitate
die Imitation;imitation
nachbilden;to reproduce, copy
fälschen;to forge, fake
die Fälschung;forgery, fake
authentisch;authentic
die Authentizität;authenticity
original;original
das Original;original
die Originalität;originality
einzigartig;unique
die Einzigartigkeit;uniqueness
besonders;special, particular
die Besonderheit;peculiarity, special feature
spezifisch;specific
die Spezifität;specificity
charakteristisch;characteristic
typisch;typical
untypisch;atypical
gewöhnlich;usual, ordinary
ungewöhnlich;unusual
normal;normal
die Normalität;normality
abnormal;abnormal
die Abnormalität;abnormality
selten;rare, seldom
die Seltenheit;rarity
häufig;frequent, common
die Häufigkeit;frequency
oft;often
manchmal;sometimes
gelegentlich;occasionally
selten;rarely, seldom
nie;never
niemals;never
immer;always
stets;always, constantly
ständig;constant, constantly
dauerhaft;permanent, lasting
die Dauer;duration
temporär;temporary
vorübergehend;temporary, passing
zeitlich;temporal, time-related
zeitweilig;temporary, occasional
befristet;temporary, limited
unbefristet;unlimited, permanent
ewig;eternal
die Ewigkeit;eternity
vergänglich;transient, perishable
flüchtig;fleeting, volatile
kurzfristig;short-term
langfristig;long-term
momentan;momentary, current
aktuell;current, topical
die Aktualität;topicality, currency
gegenwärtig;present, current
derzeitig;current, present
jetzig;current, present
zeitgenössisch;contemporary
modern;modern
die Moderne;modernity
altmodisch;old-fashioned
veraltet;outdated, obsolete
obsolet;obsolete
zeitgemäß;contemporary, modern
traditionell;traditional
konventionell;conventional
unkonventionell;unconventional
innovativ;innovative
die Innovation;innovation
revolutionär;revolutionary
die Revolution;revolution
reformieren;to reform
die Reform;reform
erneuern;to renew, renovate
die Erneuerung;renewal, renovation
renovieren;to renovate
die Renovierung;renovation
restaurieren;to restore
die Restaurierung;restoration
wiederherstellen;to restore
die Wiederherstellung;restoration
reparieren;to repair
die Reparatur;repair
ausbessern;to repair, mend
flicken;to patch, mend
instand setzen;to repair, restore
die Instandsetzung;repair, restoration
warten;to maintain, service
die Wartung;maintenance
pflegen;to maintain, care for
die Pflege;care, maintenance
behandeln;to treat, handle
die Behandlung;treatment, handling
handhaben;to handle
die Handhabung;handling
umgehen mit;to deal with, handle
der Umgang;dealing with, handling
verwenden;to use
gebrauchen;to use
einsetzen;to use, employ
der Einsatz;use, deployment
anwenden;to apply
die Anwendung;application
applizieren;to apply
benutzen;to use
nutzen;to use, utilize
ausnutzen;to exploit, take advantage of
die Ausnutzung;exploitation
missbrauchen;to misuse, abuse
der Missbrauch;misuse, abuse
verschwenden;to waste
die Verschwendung;waste
sparen;to save
die Ersparnis;saving
wirtschaftlich;economical, economic
die Wirtschaft;economy
ökonomisch;economical
effizient;efficient
die Effizienz;efficiency
ineffizient;inefficient
produktiv;productive
die Produktivität;productivity
unproduktiv;unproductive
effektiv;effective
die Effektivität;effectiveness
ineffektiv;ineffective
wirksam;effective
die Wirksamkeit;effectiveness
unwirksam;ineffective
erfolgreich;successful
erfolglos;unsuccessful
der Erfolg;success
der Misserfolg;failure
gelingen;to succeed
das Gelingen;success
misslingen;to fail
das Misslingen;failure
erreichen;to achieve, reach
verfehlen;to miss
das Ziel;goal, target
anvisieren;to aim at, target
das Ergebnis;result
resultieren;to result
folgen;to follow
die Folge;consequence, result
die Konsequenz;consequence
konsequent;consistent, consequent
inkonsequent;inconsistent
die Konsistenz;consistency
inkonsistent;inconsistent
zusammenhängend;coherent, connected
der Zusammenhang;connection, context
kohärent;coherent
die Kohärenz;coherence
logisch;logical
unlogisch;illogical
vernünftig;reasonable
unvernünftig;unreasonable
sinnvoll;sensible, meaningful
sinnlos;senseless, meaningless
der Sinn;sense, meaning
bedeutsam;significant, meaningful
unbedeutsam;insignificant
bedeutend;significant, important
unbedeutend;insignificant
wichtig;important
unwichtig;unimportant
die Wichtigkeit;importance
wesentlich;essential
unwesentlich;inessential
essenziell;essential
fundamental;fundamental
grundlegend;fundamental, basic
die Grundlage;foundation, basis
die Basis;basis
basieren auf;to be based on
gründen;to found, establish
die Gründung;foundation, establishment
etablieren;to establish
die Etablierung;establishment
begründen;to found, justify
die Begründung;justification, rationale
rechtfertigen;to justify
die Rechtfertigung;justification
legitimieren;to legitimize
die Legitimation;legitimation
autorisieren;to authorize
die Autorisierung;authorization
erlauben;to allow, permit
die Erlaubnis;permission
gestatten;to permit, allow
verbieten;to forbid, prohibit
das Verbot;prohibition, ban
untersagen;to prohibit, forbid
verhindern;to prevent
die Verhinderung;prevention
vermeiden;to avoid
die Vermeidung;avoidance
unterlassen;to refrain from, omit
die Unterlassung;omission
zulassen;to allow, permit
die Zulassung;permission, admission
zustimmen;to agree, approve
die Zustimmung;approval, consent
genehmigen;to approve, authorize
die Genehmigung;approval, permit
bewilligen;to grant, approve
die Bewilligung;approval, grant
ablehnen;to reject, refuse
zurückweisen;to reject, repel
die Zurückweisung;rejection
versagen;to refuse, deny
die Versagung;refusal, denial
